publication_number,title,abstract,Lemmatized-Abstract,sub_classes,sub_class,topics,prob,query_publication_numbers,query_class_codes,query_abstract,query_predicted_topics,query_codes_G16H,exact_match_code,count_exact_match_top50,RFR
US2020118459A1,"Wearable technology employed in injury detection, prevention and skills training","Data regarding a movement being performed by a subject during an activity is obtained from wearable apparel, having one or more sensors, worn by the subject. Based at least in part on the data obtained by the wearable apparel, it is automatically detected that the movement has a potential of causing injury to the subject. Based on automatically detecting that the motion has the potential of causing injury to the subject, application of one or more physical stimuli is initiated to cause the subject to adjust the movement to prevent the injury.",data regarding movement performed subject activity obtained wearable apparel one sensor worn subject based part data obtained wearable apparel automatically detected movement potential causing injury subject based automatically detecting motion potential causing injury subject application one physical stimulus initiated cause subject adjust movement prevent injury,"['G16H20/30', 'G16H50/20']","['G16H', 'G16H']",46,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[46],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,10,5.0
US2022167916A1,"Intelligent diet, sleep and stress management","A wearable device including multiple sensors, a memory, a processor coupled to the memory and the multiple processors, and executable code stored in the memory. When executed by the processor, the executable code causes the processor to receive data from at least some of the multiple sensors, the data indicating physical activity of a wearer of the wearable device, food consumption of the wearer, and sleeping habits of the wearer and determine an estimated stress level of the wearer based on the physical activity of the wearer, the food consumption of the wearer, and the sleeping habits of the wearer.",wearable device including multiple sensor memory processor coupled memory multiple processor executable code stored memory executed processor executable code cause processor receive data multiple sensor data indicating physical activity wearer wearable device food consumption wearer sleeping habit wearer determine estimated stress level wearer based physical activity wearer food consumption wearer sleeping habit wearer,"['A61B5/16', 'G16H50/20']","['A61B', 'G16H']",46,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[46],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,10,5.0
US2010058480A1,Information management in devices worn by a user,"An implantable medical device that is physically connectable to the body of a user has an information manager that manages sensitive information associated with the user or the device. A sensor is connected to the device that senses whether the device is physically connected to the body of the user, and generates a signal indicating whether the device is actually connected to the body of the user. The information manager is connected to the sensor, and is responsive to the sensor signal so as to perform information managing functions based on the signal. Among other things, fraudulent retrieval of sensitive data from the device is prevented if the device is not connected to or implanted in the body of the user.",implantable medical device physically connectable body user information manager manages sensitive information associated user device sensor connected device sens whether device physically connected body user generates signal indicating whether device actually connected body user information manager connected sensor responsive sensor signal perform information managing function based signal thing fraudulent retrieval sensitive data device prevented device connected implanted body user,"['G06F19/00', 'G16H40/63']","['G06F', 'G16H']",46,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[46],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,10,5.0
US2010022847A1,Clinical investigation data logging with contextual time traveling,A health monitoring device that includes a data logger module that collects health information from a subject or clinician during specific time ranges that are part of a health monitoring schedule. The collected health information and/or the time ranges are determined in part by the content of the collected health information. The device records the collected health information along with a time stamp. The device also includes a clock and a time travel mode that allows a user to adjust the clock to a specified point in the health monitoring schedule so that the device operates at the specified point in the same manner as if the device had reached the specified point without intervention by the user to adjust the clock.,health monitoring device includes data logger module collect health information subject clinician specific time range part health monitoring schedule collected health information andor time range determined part content collected health information device record collected health information along time stamp device includes clock time travel mode allows user adjust clock specified point health monitoring schedule device operates specified point manner device reached specified point intervention user adjust clock,"['G16H40/20', 'G16H40/63']","['G16H', 'G16H']",46,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[46],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,10,5.0
US2009221884A1,Vital signs monitoring using personal protective equipment,"A vital signs monitor system is integrated with personal protective equipment (“PPE”) so that upon wearing the PPE, the monitor is placed in an operational position to monitor a vital sign. In one embodiment, the vital signs sensor comprises a thermal sensor located at a mouth guard to automatically make operational contact with tissue under the tongue when the mouth guard is worn. A second vital signs monitor comprising reflective pulse oximetry devices senses oxygen saturation and heart rate. Vital signs data are communicated to an RF module located in an associated helmet for transmission to a remote location. A gateway at that remote location receives the transmitted vital signs data and forwards that data to a data collection, organization, and access system that is programmed to make the vital signs data available over the Internet. Medical personnel, coaches, supervisors at the location of the PPE can monitor the vital signs of the wearer by accessing the data collection, organization, and access system with hand held, or portable computing equipment over the Internet.",vital sign monitor system integrated personal protective equipment ppe wearing ppe monitor placed operational position monitor vital sign one embodiment vital sign sensor comprises thermal sensor located mouth guard automatically operational contact tissue tongue mouth guard worn second vital sign monitor comprising reflective pulse oximetry device sens oxygen saturation heart rate vital sign data communicated rf module located associated helmet transmission remote location gateway remote location receives transmitted vital sign data forward data data collection organization access system programmed vital sign data available internet medical personnel coach supervisor location ppe monitor vital sign wearer accessing data collection organization access system hand held portable computing equipment internet,"['G16H40/67', 'G16H40/67']","['G16H', 'G16H']",46,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[46],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00","G16H40/67,G16H40/67",10,5.0
US2014031643A1,Heart failure patients stratification,"A system, apparatus and method are provided to quantify a risk of worsening heart failure for subject using at least one physiological sensor circuit such as, for example, a heart sound sensor, a respiration sensor, a cardiac activity sensor, or other sensor circuit. A central tendency measurement of the at least one physiological sensor can be used to quantify the risk of worsening heart failure of the subject.",system apparatus method provided quantify risk worsening heart failure subject one physiological sensor circuit example heart sound sensor respiration sensor cardiac activity sensor sensor circuit central tendency measurement one physiological sensor quantify risk worsening heart failure subject,"['A61B5/366', 'G16H50/30']","['A61B', 'G16H']",46,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[46],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,10,5.0
US2013337976A1,Personal wellness device,"A personal wellness device comprise two housing bodies, a force sensor, a user interface, one or more processors, and/or other components. A first housing body and a second housing body may be movably coupled together by way of a coupling mechanism such that the two housing bodies are reconfigurable between an open configuration and a closed configuration. The force sensor may be configured to generate a force output signal that conveys information related to compressive force exerted on the two housing bodies while in the closed configuration. The user interface may be accessible with the two housing bodies in the open configuration. The one or more processors may be configured to execute one or more computer program modules, including a presentation module configured to present, via the user interface, information associated with compressive force exerted on the two housing bodies, the information being derived from the force output signal.",personal wellness device comprise two housing body force sensor user interface one processor andor component first housing body second housing body movably coupled together way coupling mechanism two housing body reconfigurable open configuration closed configuration force sensor configured generate force output signal conveys information related compressive force exerted two housing body closed configuration user interface accessible two housing body open configuration one processor configured execute one computer program module including presentation module configured present user interface information associated compressive force exerted two housing body information derived force output signal,"['G16H20/30', 'A61B2505/09']","['G16H', 'A61B']",46,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[46],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,10,5.0
US2019159700A1,"Systems, apparatus, and methods for using a wearable device to confirm the identity of an individual","A wearable device includes at least one sensor for obtaining a unique identifier from the wearer when the wearer and for transmitting the unique identifier to one or more computer processors for use in determining whether the wearer is a particular individual. The wearable device may also include a wireless communications device for transmitting a signal (e.g., to a remote computing device) that confirms the identity of the wearer as the particular individual. A remote computing device, or other device, or individual, may then, based at least in part on receiving the signal, grant wearer access to a computer program, computing system, and/or a particular physical space.",wearable device includes one sensor obtaining unique identifier wearer wearer transmitting unique identifier one computer processor determining whether wearer particular individual wearable device include wireless communication device transmitting signal eg remote computing device confirms identity wearer particular individual remote computing device device individual based part receiving signal grant wearer access computer program computing system andor particular physical space,"['G16H40/67', 'G06F2218/00']","['G16H', 'G06F']",46,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[46],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",G16H40/67,10,5.0
US2019142547A1,Sensor system,A sensor system including: a wristband (2) which has a storage unit storing patient identification information so that a patient can be identified by the patient identification information; and a sensor (3) which can measure vital information of the patient; wherein: the wristband (2) can transmit the patient identification information to the sensor (3) by human body communication through a surface of a body of the patient in a state in which the wristband (2) and the sensor (3) are attached to the patient; and the sensor (3) associates the patient identification information with the vital information and then transmits the vital information including the patient identification information to a bedside monitor 4.,sensor system including wristband storage unit storing patient identification information patient identified patient identification information sensor measure vital information patient wherein wristband transmit patient identification information sensor human body communication surface body patient state wristband sensor attached patient sensor associate patient identification information vital information transmits vital information including patient identification information bedside monitor,"['A61B5/00', 'G16H40/63']","['A61B', 'G16H']",46,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[46],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,10,5.0
US2019082974A1,Wearable audio devices,"A wearable audio device includes a housing configured to be positioned at an ear of a subject, a speaker and a chipset within the housing. The chipset includes a plurality of sensor elements, at least one signal processor, at least one digital bus, power regulating circuitry, and at least one wireless transmitter. The sensor elements include at least one optical emitter, at least one optical detector, and at least one noise source. The chipset is positioned within the housing such that the at least one optical emitter and at least one optical detector are in optical communication with the ear via a window in the housing. The at least one signal processor includes sensor signal conditioning algorithms configured to process signals from the sensor elements to generate physiological assessment information about the subject. The at least one wireless transmitter is configured to communicate the physiological assessment information to a remote device.",wearable audio device includes housing configured positioned ear subject speaker chipset housing chipset includes plurality sensor element one signal processor one digital bus power regulating circuitry one wireless transmitter sensor element include one optical emitter one optical detector one noise source chipset positioned housing one optical emitter one optical detector optical communication ear window housing one signal processor includes sensor signal conditioning algorithm configured process signal sensor element generate physiological assessment information subject one wireless transmitter configured communicate physiological assessment information remote device,"['G16H40/67', 'G16H40/67']","['G16H', 'G16H']",46,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[46],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00","G16H40/67,G16H40/67",10,5.0
