publication_number,title,abstract,Lemmatized-Abstract,sub_classes,sub_class,topics,prob,query_publication_numbers,query_class_codes,query_abstract,query_predicted_topics,query_codes_G16H,exact_match_code,count_exact_match_top50,RFR
US2009030476A1,Methods and Apparatus for Electrical Stimulation of Tissues Using Signals that Minimize the Effects of Tissue Impedance,"A tissue stimulation system that generates an electrical tissue stimulation signal configured to reduce tissue impedance and increase depth of signal penetration. The use of leads is dynamically controlled and altered between conducting biopotential voltages, conducting electrical tissue stimulation signals, and grounding, in response to a computational analysis of biopotential data acquired from a region of tissue to be stimulated.",tissue stimulation system generates electrical tissue stimulation signal configured reduce tissue impedance increase depth signal penetration lead dynamically controlled altered conducting biopotential voltage conducting electrical tissue stimulation signal grounding response computational analysis biopotential data acquired region tissue stimulated,"['G06Q50/00', 'G16H40/63']","['G06Q', 'G16H']",10,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[10],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,13,4.0
US2017339255A1,Dynamic feedback for wearable devices,"Various embodiments disclosed herein relate to wearable devices for capturing biometric, motion, and other wearer measurements and subsequently providing feedback to the user. Various methods and systems described herein include one or more of the following: storing, in a memory, a record specifying applicability criteria, a resource identifier, and a server identifier; obtaining, by a processor in communication with the memory, a user metric captured by the wearable device; comparing the user metric to the applicability criteria to determine that the record is currently applicable; transmitting the resource identifier to the server associated with the server identifier; receiving, in response to transmitting the resource identifier, data for display to a user wearing the wearable device; and effecting display of the data to the user.",various embodiment disclosed relate wearable device capturing biometric motion wearer measurement subsequently providing feedback user various method system described include one following storing memory record specifying applicability criterion resource identifier server identifier obtaining processor communication memory user metric captured wearable device comparing user metric applicability criterion determine record currently applicable transmitting resource identifier server associated server identifier receiving response transmitting resource identifier data display user wearing wearable device effecting display data user,"['G16H40/63', 'A61B5/742']","['G16H', 'A61B']",10,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[10],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,13,4.0
US2014316287A1,System and method for displaying fluid responsivenss predictors,"Embodiments provide systems and methods for displaying a fluid responsiveness predictor (FRP) based on an analysis a physiological signal detected by a physiological sensor applied to a patient. A method may include detecting the signal of the patient with the physiological sensor, determining an FRP with a FRP determination module, wherein the determining operation comprises analyzing at least one characteristic of the physiological signal over time to determine the FRP, receiving a report request to report the FRP at a requested time through a user interface, generating a reported FRP in relation to the requested time using the FRP determination module, and displaying the reported FRP on a display. The displaying operation may include displaying the FRP using at least one graphic representation.",embodiment provide system method displaying fluid responsiveness predictor frp based analysis physiological signal detected physiological sensor applied patient method include detecting signal patient physiological sensor determining frp frp determination module wherein determining operation comprises analyzing one characteristic physiological signal time determine frp receiving report request report frp requested time user interface generating reported frp relation requested time frp determination module displaying reported frp display displaying operation include displaying frp one graphic representation,"['A61B5/0295', 'G16H50/30']","['A61B', 'G16H']",10,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[10],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,13,4.0
US2013217350A1,System and method for communicating presence status,A method and system are provided for computing a physiological presence of a user of a device. The method comprises obtaining a physiological measurement of the user of the device and computing a presence status based on physiological measurements.,method system provided computing physiological presence user device method comprises obtaining physiological measurement user device computing presence status based physiological measurement,"['G06F19/00', 'G16H40/67']","['G06F', 'G16H']",10,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[10],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",G16H40/67,13,4.0
US2013018592A1,Systems and Methods for Inter-Population Neurobehavioral Status Assessment Using Profiles Adjustable to Testing Conditions,"Systems and methods for inter-population assessment of neurobehavioral status employ neurobehavioral profiles to accommodate differing external conditions. Population profiles and external condition data are provided to a neurobehavioral performance model to determine neurobehavioral status under external conditions. Alternatively, neurobehavioral performance values may be retrieved from the profile when such values are stored in conjunction with external condition data. Comparisons of the resulting neurobehavioral status(es) are then determined, and may comprise without limitation one or more of: performance deltas, statistical parameter differences, rankings, above/below performance threshold determinations, pass/fail indicators, and countermeasure recommendations. Populations may comprise pluralities, individuals and empty (“null”) sets. Comparisons may also pertain to one or more relevant times of interest and one or more sets of testing conditions. Fields of application include (without limitation) operational and military fatigue management, medical diagnosis and treatment, fatigue countermeasure training and individualization, sleep research, academic and scientific research, and/or the like.",system method interpopulation assessment neurobehavioral status employ neurobehavioral profile accommodate differing external condition population profile external condition data provided neurobehavioral performance model determine neurobehavioral status external condition alternatively neurobehavioral performance value retrieved profile value stored conjunction external condition data comparison resulting neurobehavioral status determined comprise limitation one performance delta statistical parameter difference ranking abovebelow performance threshold determination passfail indicator countermeasure recommendation population comprise plurality individual empty null set comparison pertain one relevant time interest one set testing condition field application include limitation operational military fatigue management medical diagnosis treatment fatigue countermeasure training individualization sleep research academic scientific research andor like,"['G16Z99/00', 'G16H50/50']","['G16Z', 'G16H']",10,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[10],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,13,4.0
US2021316089A1,Single dose inhaler monitoring attachment,"A medicament device sensor (Sensor) comprises a body, a front wall, a back wall, an audio sensor, and a plurality of pressure sensors. The body includes a bottom surface on which the various sensors are coupled. The front wall and the back wall provide mirror symmetry in at most one plane, thereby defining a single orientation in which the Sensor attaches to the medicament device. The front wall includes a securement clip that attaches to a ledge on the medicament device. To detect secure attachment of the Sensor to the medicament device, one pressure sensor detects pressure when the Sensor is secured to the medicament device. Another one or more pressure sensors detect depression of one or more dosing buttons confirming priming of the medicament device. The audio sensor detects an inhalation confirming dispensing of medicament. In effect, the Sensor determines a dispensing event has occurred.",medicament device sensor sensor comprises body front wall back wall audio sensor plurality pressure sensor body includes bottom surface various sensor coupled front wall back wall provide mirror symmetry one plane defining single orientation sensor attache medicament device front wall includes securement clip attache ledge medicament device detect secure attachment sensor medicament device one pressure sensor detects pressure sensor secured medicament device one pressure sensor detect depression one dosing button confirming priming medicament device audio sensor detects inhalation confirming dispensing medicament effect sensor determines dispensing event occurred,"['G16H20/13', 'A61M2205/3375']","['G16H', 'A61M']",10,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[10],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,13,4.0
US2014379273A1,System For Improved Interpretation of Physiological Data and Presentation of Physiological Condition Management Information,"Systems, devices and methods for managing a physiological condition are configured to store predetermined output segments of content, analyze physiological data and other user information, and generate user-friendly information that provides an interpretation of the data (e.g., identifies selected data points, or determines pattern of physiological data over selected period(s)). An output segment management system with rules engine and method combines selected output segments to generate a presentation or message (e.g., with text, graphical, multimedia, video and/or audio information). The resulting presentation or message provides user information such as an explanation of selected data with selected user information incorporated therein, and optional recommendations (e.g., suggested user actions based on a designated protocol such as a clinical protocol).",system device method managing physiological condition configured store predetermined output segment content analyze physiological data user information generate userfriendly information provides interpretation data eg identifies selected data point determines pattern physiological data selected period output segment management system rule engine method combine selected output segment generate presentation message eg text graphical multimedia video andor audio information resulting presentation message provides user information explanation selected data selected user information incorporated optional recommendation eg suggested user action based designated protocol clinical protocol,"['A61B5/00', 'G16H50/30']","['A61B', 'G16H']",10,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[10],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,13,4.0
US2019183450A1,Monitoring body sounds and detecting health conditions,"A method of monitoring body sounds using a sensor including an array of microphones, the method including acquiring a first sound produced by certain physiology using the array of microphones of the sensor, identifying a source of the first sound, performing an automatic auscultation of the source using the first sound, wherein the automatic auscultation including matching the first sound to an acoustic model stored in a memory, wherein the acoustic model corresponds to a physiology, generating an image representing the physiology using an image library, and determining a health condition using the physiology and the image.",method monitoring body sound sensor including array microphone method including acquiring first sound produced certain physiology array microphone sensor identifying source first sound performing automatic auscultation source first sound wherein automatic auscultation including matching first sound acoustic model stored memory wherein acoustic model corresponds physiology generating image representing physiology image library determining health condition physiology image,"['H04R1/40', 'G16H40/63']","['H04R', 'G16H']",10,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[10],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,13,4.0
US2015105633A1,Methods for Generating Data Output Containing Physiological and Motion-Related Information,"A method of generating a data string containing physiological and motion-related information includes sensing physical activity of a subject via at least one motion sensor attached to the subject, sensing physiological information from the subject via at least one photoplethysmography (PPG) sensor attached to the subject, and processing signals from the at least one motion sensor and signals from the at least one PPG sensor into a serial data string of physiological information and motion-related information. A plurality of subject physiological parameters can be extracted from the physiological information, and a plurality of subject physical activity parameters can be extracted from the motion-related information. The serial data string is parsed out such that an application-specific interface can utilize the physiological information and motion-related information for an application that generates statistical relationships between subject physiological parameters and subject physical activity parameters in the physiological information and motion-related information.",method generating data string containing physiological motionrelated information includes sensing physical activity subject one motion sensor attached subject sensing physiological information subject one photoplethysmography ppg sensor attached subject processing signal one motion sensor signal one ppg sensor serial data string physiological information motionrelated information plurality subject physiological parameter extracted physiological information plurality subject physical activity parameter extracted motionrelated information serial data string parsed applicationspecific interface utilize physiological information motionrelated information application generates statistical relationship subject physiological parameter subject physical activity parameter physiological information motionrelated information,"['A61B5/11', 'G16H40/67']","['A61B', 'G16H']",10,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[10],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",G16H40/67,13,4.0
US2018228447A1,Physiological state determination device and physiological state determination method,A physiological state determination system includes a CPU and a camera. The camera acquires a photographic image data of a time-series change in facial data of a subject to which brain function activation information that activates human brain function was provided. The CPU determines a mental or physical physiological state of the subject based on facial change information corresponding to the photographic image data.,physiological state determination system includes cpu camera camera acquires photographic image data timeseries change facial data subject brain function activation information activates human brain function provided cpu determines mental physical physiological state subject based facial change information corresponding photographic image data,"['G06T7/00', 'G16H50/30']","['G06T', 'G16H']",10,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[10],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,13,4.0
