publication_number,title,abstract,Lemmatized-Abstract,sub_classes,sub_class,topics,prob,query_publication_numbers,query_class_codes,query_abstract,query_predicted_topics,query_codes_G16H,exact_match_code,count_exact_match_top50,RFR
US2020098471A1,Actions based on customer premises data,A system comprises a server computing device comprising a processor and a memory. The memory stores instructions executable by the processor to receive data from one or more devices in a customer premises indicative of a physical state of an occupant of the customer premises; apply one or more predictive models to the data from the customer premises to correlate output from one or more predictive models to an occupant condition; and actuate an action based on output of applying the one or more predictive models.,system comprises server computing device comprising processor memory memory store instruction executable processor receive data one device customer premise indicative physical state occupant customer premise apply one predictive model data customer premise correlate output one predictive model occupant condition actuate action based output applying one predictive model,"['G06N20/00', 'G16H40/67']","['G06N', 'G16H']",-1,0.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[-1],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",G16H40/67,8,1.0
US2014081666A1,"Systems, methods, and devices to selectively present cumulative indicators of an individuals status over time","The invention is a system for detecting, monitoring, and reporting an individual&#39;s physiological or contextual status. The system works deriving a physiological or contextual status parameter of an individual using the system. The derivation utilizes two sensed parameters of the individual. The system is able to present the derived parameter in relation to any other sensed parameters, entered information, life activities data, or other derived data.",invention system detecting monitoring reporting individual physiological contextual status system work deriving physiological contextual status parameter individual system derivation utilizes two sensed parameter individual system able present derived parameter relation sensed parameter entered information life activity data derived data,"['G16H10/60', 'A61B5/7264']","['G16H', 'A61B']",-1,0.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[-1],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,8,1.0
US2014164021A1,Emergency contact coded item system and method,The present invention involves a coded item based system and method which allows an individual to control access to medical records while providing for emergency access to those medical records.,present invention involves coded item based system method allows individual control access medical record providing emergency access medical record,"['G16H10/60', 'G06Q50/01']","['G16H', 'G06Q']",-1,0.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[-1],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,8,1.0
US2014163337A1,"Systems, computer medium and computer-implemented methods for monitoring and improving biomechanical health of employees","Provided are embodiments of systems, computer medium and computer-implemented methods for monitoring the health of an employee while the employee is located in an employee workstation. A method including collecting, from a plurality of biomechanical sensors disposed throughout the employee workstation, biomechanical health data indicative of biomechanical characteristics of the employee, determining an employee biomechanical health profile based at least in part on the collected biomechanical health data. The employee biomechanical health profile including biomechanical health characteristics, biomechanical health conditions and/or biomechanical health risks for the employee. The method including generating a health plan for the employee based at least in part on the biomechanical health profile, and displaying the employee biomechanical health profile and the health plan to the employee.",provided embodiment system computer medium computerimplemented method monitoring health employee employee located employee workstation method including collecting plurality biomechanical sensor disposed throughout employee workstation biomechanical health data indicative biomechanical characteristic employee determining employee biomechanical health profile based part collected biomechanical health data employee biomechanical health profile including biomechanical health characteristic biomechanical health condition andor biomechanical health risk employee method including generating health plan employee based part biomechanical health profile displaying employee biomechanical health profile health plan employee,"['G16H40/67', 'A61B5/6887']","['G16H', 'A61B']",-1,0.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[-1],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",G16H40/67,8,1.0
US2014163892A1,Method for determining if an implantable medical device is magnetic resonance conditional,"A method for determining if an implantable medical device (IMD) in a patient is magnetic resonance conditional. Embodiments include a Home Monitoring Service Center (HMSC) that indicates if the IMD is MR conditional and what those conditions are. The IMD includes memory with flags, enabling a physician to set a flag to “MR conditional” if the IMD is MR conditional, if there are no abandoned leads in the patient, and if there are no other hardware in the patient that are not MR conditionally approved. In embodiments, the flags indicate safe for 1.5 T, 3.0 T, 1.5 &amp; 3.0 T, up to 2 W/Kg, up to 4 W/Kg, with/without exclusion zone, and date flags are set. During home monitoring, the HMSC reads out a status of the MR conditional flags and the date last confirmed. If the patient needs an MRI scan, physician queries HMSC to determine MR conditional status.",method determining implantable medical device imd patient magnetic resonance conditional embodiment include home monitoring service center hmsc indicates imd mr conditional condition imd includes memory flag enabling physician set flag mr conditional imd mr conditional abandoned lead patient hardware patient mr conditionally approved embodiment flag indicate safe amp wkg wkg withwithout exclusion zone date flag set home monitoring hmsc read status mr conditional flag date last confirmed patient mri scan physician query hmsc determine mr conditional status,"['G01R33/20', 'G16H40/63']","['G01R', 'G16H']",-1,0.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[-1],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,8,1.0
US2014163336A1,"Systems, computer medium and computer-implemented methods for monitoring and improving biometric health of employees","Provided are embodiments of systems, computer medium and computer-implemented methods for monitoring the health of an employee while the employee is located in an employee workstation. A method for monitoring the health of an employee including collecting, from a plurality of biometric sensors disposed throughout an employee workstation, biometric health data indicative of biometric characteristics of the employee. The method including determining an employee biometric health profile including biometric health characteristics, biometric health conditions and/or biometric health risks for the employee based at least in part on the collected biometric health data. The method including generating a health plan for the employee based at least in part on the biometric health profile, and displaying the employee biometric health profile and the health plan to the employee.",provided embodiment system computer medium computerimplemented method monitoring health employee employee located employee workstation method monitoring health employee including collecting plurality biometric sensor disposed throughout employee workstation biometric health data indicative biometric characteristic employee method including determining employee biometric health profile including biometric health characteristic biometric health condition andor biometric health risk employee based part collected biometric health data method including generating health plan employee based part biometric health profile displaying employee biometric health profile health plan employee,"['G16H10/60', 'G16H50/30']","['G16H', 'G16H']",-1,0.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[-1],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,8,1.0
US2014163335A1,"Systems, computer medium and computer-implemented methods for monitoring and improving health and productivity of employees","Provided are embodiments of systems, computer medium and computer-implemented methods to monitor the health of an employee. A method for monitoring the health of an employee while the employee is located in an employee workstation including collecting, from a plurality of biometric and biomechanical sensors disposed throughout an employee workstation, health data indicative of biometric and biomechanical characteristics of the employee. The plurality of biometric and biomechanical sensors adapted to sense biometric and biomechanical characteristics of the employee and output corresponding health data indicative of the biometric and biomechanical characteristics of the employee. The method including determining an employee health profile based at least in part on the collected health data, generating a health plan for the employee based at least in part on the health profile, and displaying health content including the employee health profile and the health plan for the employee.",provided embodiment system computer medium computerimplemented method monitor health employee method monitoring health employee employee located employee workstation including collecting plurality biometric biomechanical sensor disposed throughout employee workstation health data indicative biometric biomechanical characteristic employee plurality biometric biomechanical sensor adapted sense biometric biomechanical characteristic employee output corresponding health data indicative biometric biomechanical characteristic employee method including determining employee health profile based part collected health data generating health plan employee based part health profile displaying health content including employee health profile health plan employee,"['G16H40/67', 'A61B5/6891']","['G16H', 'A61B']",-1,0.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[-1],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",G16H40/67,8,1.0
US2014156698A1,Using aggregated sensed data of individuals to predict the mental state of an individual,"The methods and systems described herein may involve determining at least one lifeotype of at least one individual, analyzing the at least one lifeotype, and delivering content to at least one individual based on the analysis. The methods and systems described herein may involve providing a game, determining at least one lifeotype of at least one player of the game, analyzing the at least one lifeotype, and affecting the game play based on the analysis. The methods and systems described herein may involve providing an interactive space, determining at least one lifeotype of at least one individual in the space, analyzing the at least one lifeotype, and modifying at least one attribute of the space based on the analysis.",method system described involve determining one lifeotype one individual analyzing one lifeotype delivering content one individual based analysis method system described involve providing game determining one lifeotype one player game analyzing one lifeotype affecting game play based analysis method system described involve providing interactive space determining one lifeotype one individual space analyzing one lifeotype modifying one attribute space based analysis,"['G16H10/60', 'G06F16/25']","['G16H', 'G06F']",-1,0.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[-1],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,8,1.0
US2014156297A1,"Computer program, method, and system for pharmacist-assisted treatment of patients",A computer program for directing operation of a tablet computer or other portable electronic device operated by a caregiver while administering an in-home or outpatient treatment to a patient. The computer program comprises a code segment for receiving pre-treatment patient data representative of a condition of a patient before the patient receives a treatment; a code segment for receiving treatment patient data representative of a condition of the patient while or shortly after the patient receives the treatment; a code segment for transmitting at least some of the pre-treatment patient data and the treatment patient data from the portable electronic device to a remote computer while or shortly after the patient receives the treatment; and a code segment for receiving and displaying instructions from a doctor and instructions from a pharmacist that are provided in response to the transmitted data.,computer program directing operation tablet computer portable electronic device operated caregiver administering inhome outpatient treatment patient computer program comprises code segment receiving pretreatment patient data representative condition patient patient receives treatment code segment receiving treatment patient data representative condition patient shortly patient receives treatment code segment transmitting pretreatment patient data treatment patient data portable electronic device remote computer shortly patient receives treatment code segment receiving displaying instruction doctor instruction pharmacist provided response transmitted data,"['G06F19/00', 'G16H10/60']","['G06F', 'G16H']",-1,0.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[-1],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,8,1.0
US2014135596A1,Form-fitted monitoring apparatus for health and enviornmental monitoring,A monitoring apparatus includes a housing that is configured to be attached to a body of a subject. The housing includes a sensor region that is configured to contact a selected area of the body of the subject when the housing is attached to the body of the subject. The sensor region is contoured to matingly engage the selected body area. The apparatus includes at least one physiological sensor that is associated with the sensor region and that detects and/or measures physiological information from the subject and/or at least one environmental sensor associated with the sensor region that is configured to detect and/or measure environmental information. The sensor region contour stabilizes the physiological and/or environmental sensor(s) relative to the selected body area such that subject motion does not impact detection and/or measurement efforts of the sensor(s).,monitoring apparatus includes housing configured attached body subject housing includes sensor region configured contact selected area body subject housing attached body subject sensor region contoured matingly engage selected body area apparatus includes one physiological sensor associated sensor region detects andor measure physiological information subject andor one environmental sensor associated sensor region configured detect andor measure environmental information sensor region contour stabilizes physiological andor environmental sensor relative selected body area subject motion impact detection andor measurement effort sensor,"['A61B5/0205', 'G16H20/30']","['A61B', 'G16H']",-1,0.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[-1],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,8,1.0
