publication_number,title,abstract,sub_classes,sub_class,topics,prob,query_publication_numbers,query_class_codes,query_abstract,query_predicted_topics,query_codes_G16H,exact_match_code,count_exact_match_top50,RFR
US2020145183A1,"Physiological information system, physiological information sensor and physiological information processing apparaus","A physiological information system includes: a plurality of physiological information sensors configured to acquire physiological information data of a subject being tested, and a physiological information processing apparatus communicatively connected to each of the plurality of physiological information sensors. The physiological information processing apparatus is configured to transmit a synchronous packet toward each of the plurality of physiological information sensors. Each of the plurality of physiological information sensors is configured to: acquire the physiological information data of the subject being tested; receive the synchronous packet transmitted from the physiological information processing apparatus or a trigger signal associated with the synchronous packet; start AD conversion processing for the acquired physiological information data when receiving the synchronous packet or the trigger signal; and transmit the physiological information data converted into digital data to the physiological information processing apparatus.","['G16H40/67', 'G16H40/67']","['G16H', 'G16H']",40,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[40],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00","G16H40/67,G16H40/67",14,1.0
US2022167894A1,"Physiological state control apparatus, physiological state characteristic display apparatus, and physiological state control method","A physiological state control apparatus includes mixing ratio computation means for computing, on the basis of characteristic data regarding a subject, mixing ratios for multiple sub-models that take, as an input, a physical quantity in a space in which the subject is located and that output a predicted value of a physiological index; model generation means for generating a physiological state prediction model for the subject on the basis of the mixing ratios and the sub-models; and device control means for controlling a control target device that influences the physical quantity using the physiological state prediction model.","['A61B5/16', 'G16H50/30']","['A61B', 'G16H']",40,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[40],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,14,1.0
US2010222650A1,Biological signal measuring apparatus,A biological signal measuring apparatus includes: a pressure sensor which measures a pressure in a living body; a respiratory sensor which measures respiratory information; and an outputting unit which detects an end-tidal based on the respiratory information measured by the respiratory sensor and which outputs a pressure value based on the pressure measured by the pressure sensor when detecting the end-tidal.,"['G16H20/40', 'A61B5/74']","['G16H', 'A61B']",40,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[40],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,14,1.0
US2010211404A1,Methods and Systems for Real-Time RRi Values PD2i of Heartbeat Intervals,Biological outcomes are detected and/or predicted by analyzing biological data containing R-R intervals (RRi). The biological data can be analyzed by performing nonlinear analysis. The biological data can be analyzed when there is minimal noise in the data. The noise in the biological data is minimal before the data is converted to real-time or after the data has been manipulated.,"['G16H10/60', 'A61B5/316']","['G16H', 'A61B']",40,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[40],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,14,1.0
US2009187392A1,System and method for monitoring a health condition of an animal,"An ingestible bolus may be disposed within the stomach of an animal. The bolus may comprise one or more sensors to monitor one or more internal and/or external animal characteristics. The bolus may comprise a data transmitter in wireless communication with a base station. The base station may receive messages from the bolus comprising one or more measured animal characteristics. The base station may comprise a process to monitor the animal and/or be in communication with a process to monitor the animal. The process may build an animal profile based upon the observed characteristics of the animal, the characteristics of other animals in a group associated with the animal, and/or characteristics associated with the breed and/or sex of the animal. Based on this profile, the process may detect a change in a health condition of the animal. Such heath conditions may include, but are not limited to, an estrus condition in the animal, off-feed condition, a nominal condition, the animal leaving an enclosure, or the like.","['G16H40/67', 'A61B5/02055']","['G16H', 'A61B']",40,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[40],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",G16H40/67,14,1.0
US2014200413A1,"Biological information management module, sleep monitor, and control apparatus","A biological information management module includes a first acquisition unit, a determination unit, and a generation unit. The first acquisition unit acquires a plurality of pieces of biological information of different types for a living organism during sleep. The determination unit determines the state of the living organism based on the pieces of biological information. The generation unit generates an execution instruction when the determination unit determines that the living organism is in a predetermined state. The execution instruction causes a first device to execute a predetermined operation. The first device executes the predetermined operation with respect to the living organism.","['G16H40/60', 'G16H40/60']","['G16H', 'G16H']",40,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[40],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00","G16H40/60,G16H40/60",14,1.0
US2014103110A1,Automatic touch identification system and method thereof,"An automatic identification system for communicating identifying information by coupling signals through the human body is provided. The system includes a battery powered identification device that transmits an identifying signal via a modulated carrier. The identification device is coupled to the body of the user via a coupling plate. The signal from the identification device is received by a reading device that is also coupled to the body of the user via a coupling plate. The reading device may display and/or enunciates the identifying information to the user. The coupling technique, carrier frequency, and construction of the devices are such that the identification information is not inadvertently radiated or coupled to unintentional users or receivers.","['G06K7/00', 'G16H40/20']","['G06K', 'G16H']",40,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[40],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,14,1.0
US2014077945A1,"Biological information notifying apparatus, biological information notifying method, and computer-readable storage medium having biological information notifying program stored thereon","A biological information notifying apparatus of the present invention includes a biological information obtainment sensor to detect biological information of a human body, a vibration section which notifies the biological information by transmitting vibrations to the human body, and a control section which causes the vibration section to vibrate in accordance with the biological information. The control section obtains a first count number of the biological information per a predetermined time period at a first time point, obtains a second count number at a second time point which follows the first time point, causes the vibration section to vibrate with a first vibration in accordance with the biological information, when a difference obtained by subtracting the first count number from the second count number is larger than a positive first value at the second time point.","['A61B5/00', 'G16H40/63']","['A61B', 'G16H']",40,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[40],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,14,1.0
US2014025309A1,Calibration system with human-like response actuator,"Methods are provided for calibrating stimulus-response test systems which include a stimulus output device for delivering a stimulus to a subject, and a response input device for receiving a response from the subject, said response input device comprising a response actuator that is capable of responding in human-like fashion to the stimulus-response test using variable motion control signals comprising one or more time offsets and one or more activation values, said activation values comprising variable speeds and forces for the response motion.","['G06F19/00', 'G16H40/63']","['G06F', 'G16H']",40,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[40],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,14,1.0
US2019150853A1,Biological information processing device and biological information processing method,"A biological information processing device and method includes selecting image ranges of processing targets from input image data, estimating pulse rates of the processing targets corresponding to the image ranges on the basis of image data of the selected image ranges of the processing targets, performing relative comparison between the estimated pulse rates of the processing targets and thus detecting a target which will possibly be abnormal or a target requiring special attention, and outputting information regarding the detected target which will possibly be abnormal or the detected target requiring special attention.","['A61B5/024', 'G16H50/30']","['A61B', 'G16H']",40,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[40],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,14,1.0
