publication_number,title,abstract,Lemmatized-Abstract,sub_classes,sub_class,topics,prob,query_publication_numbers,query_class_codes,query_abstract,query_predicted_topics,query_codes_G16H,exact_match_code,count_exact_match_top50,RFR
US2015302580A1,Generating a key-image from a medical image,"A system ( 100 ) for generating a key-image from a medical image, the key-image comprising an image area selected from the medical image, the system comprising: —an image analyzer ( 140 ) for: i) detecting a lesion ( 300 ) in the medical image; ii) based on anatomical information, identifying an anatomical landmark ( 310 ) which has an anatomical relation with the lesion; and iii) detecting the anatomical landmark in the medical image; and —a key-image generator ( 160 ) for j) selecting an image area ( 400 ) in the medical image which comprises the lesion ( 300 ) and the anatomical landmark ( 310 ), and jj) generating the key-image ( 162 ) so as to comprise said image area.",system generating keyimage medical image keyimage comprising image area selected medical image system comprising image analyzer detecting lesion medical image ii based anatomical information identifying anatomical landmark anatomical relation lesion iii detecting anatomical landmark medical image keyimage generator j selecting image area medical image comprises lesion anatomical landmark jj generating keyimage comprise image area,"['G16H10/60', 'G06T11/60']","['G16H', 'G06T']",25,0.5117969512939453,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[25],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,1,25.0
US2022108448A1,"Image recording apparatus, information processing apparatus, information processing method, and recording medium","An information processing apparatus includes a processor. The processor acquires a medical image, identifies the acquired medical image and acquires an identification result, analyzes a motion relating to interpretation of the medical image by a user to acquire a motion analysis result, and compares the identification result and the motion analysis result and acquires a comparison result relating to coincidence or noncoincidence of the identification result and the motion analysis result.",information processing apparatus includes processor processor acquires medical image identifies acquired medical image acquires identification result analyzes motion relating interpretation medical image user acquire motion analysis result compare identification result motion analysis result acquires comparison result relating coincidence noncoincidence identification result motion analysis result,"['G16H30/20', 'G06T2207/30096']","['G16H', 'G06T']",25,0.5034328103065491,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[25],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,1,25.0
US2015374247A1,"Method of measuring blood flow velocity performed by medical imaging apparatus, and the medical imaging apparatus","A method of measuring a blood flow velocity of blood flowing in an object includes obtaining first slab data of a first imaging slab to which a first bipolar gradient is applied, obtaining second slab data of a second imaging slab to which a second bipolar gradient is applied, the second imaging slab being moved to a location different from a location of the first imaging slab, and calculating the blood flow velocity based on data included in slices of the first slab data and slices of the second slab data, the slices of the first slab data being located at a same location as the slices of the second slab data on the object.",method measuring blood flow velocity blood flowing object includes obtaining first slab data first imaging slab first bipolar gradient applied obtaining second slab data second imaging slab second bipolar gradient applied second imaging slab moved location different location first imaging slab calculating blood flow velocity based data included slice first slab data slice second slab data slice first slab data located location slice second slab data object,"['A61B5/055', 'G16H30/40']","['A61B', 'G16H']",25,0.49920979142189026,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[25],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,1,25.0
US2011097426A1,Methods for Safe and Effective Treatment Using Oxazaphosphorine Drugs,"The present invention provides methods of treating subjects with an oxazaphosphorines, methods of identifying subjects that are suitable for oxazaphosphorine treatment, and systems for ensuring the safety and efficacy of a treatment that includes oxazaphosphorine administration.",present invention provides method treating subject oxazaphosphorines method identifying subject suitable oxazaphosphorine treatment system ensuring safety efficacy treatment includes oxazaphosphorine administration,"['G16H20/10', 'A61P35/00']","['G16H', 'A61P']",25,0.49780967831611633,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[25],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,1,25.0
US2021073990A1,"Apparatus for quality management of medical image interpretation using machine learning, and method thereof","Provided are a computerized image interpretation method and a device for analyzing a medical image. The image interpretation method may include receiving, at a processor, a medical image, and receiving report information including a healthcare worker&#39;s judgement result of the medical image. The method may also include generating, at the processor, result information representing correspondence between first lesion information, which is related to a lesion in the medical image acquired on the basis of the medical image, and second lesion information, which is related to a lesion in the medical image acquired on the basis of the report information, by applying the first lesion information and the second lesion information to a third analysis model. The method may further include outputting, at the processor, the result information.",provided computerized image interpretation method device analyzing medical image image interpretation method include receiving processor medical image receiving report information including healthcare worker judgement result medical image method include generating processor result information representing correspondence first lesion information related lesion medical image acquired basis medical image second lesion information related lesion medical image acquired basis report information applying first lesion information second lesion information third analysis model method include outputting processor result information,"['G16H30/20', 'G06N3/045']","['G16H', 'G06N']",25,0.49715691804885864,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[25],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,1,25.0
US2021251745A1,Nose implant manufacturing method,"The present disclosure relates to a method for manufacturing nose implant, including obtaining a 3-dimensional image of a nasal bone and a 3-dimensional image of a nasal cavity; modeling a nasal cartilage by applying information of anatomy between the nasal bone, nasal cavity, and nasal cartilage, to the 3-dimensional image of the nasal bone and the 3-dimensional image of the nasal cavity; and modeling an inner shape of where the implant may be seated, from the 3-dimensional image of the nasal bone and the modelled nasal cartilage.",present disclosure relates method manufacturing nose implant including obtaining dimensional image nasal bone dimensional image nasal cavity modeling nasal cartilage applying information anatomy nasal bone nasal cavity nasal cartilage dimensional image nasal bone dimensional image nasal cavity modeling inner shape implant seated dimensional image nasal bone modelled nasal cartilage,"['G05B19/4097', 'G16H30/20']","['G05B', 'G16H']",25,0.4958052337169647,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[25],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,1,25.0
US2019072543A1,Treatment methods,"Methods and compositions for identifying tumor antigens of human lymphocytes, and for identifying subjects for cancer therapy, are provided herein.",method composition identifying tumor antigen human lymphocyte identifying subject cancer therapy provided,"['G16H50/20', 'C12Q2600/158']","['G16H', 'C12Q']",25,0.49386489391326904,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[25],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,1,25.0
US2006159325A1,System and method for review in studies including toxicity and risk assessment studies,"Systems and methods for reviewing and managing toxicology and risk assessment studies, including the reviewing of specimen images.",system method reviewing managing toxicology risk assessment study including reviewing specimen image,"['G16B50/10', 'G16H30/20']","['G16B', 'G16H']",25,0.49261239171028137,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[25],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,1,25.0
US2022058798A1,System and method for providing stroke lesion segmentation using conditional generative adversarial networks,"A system and method for performing image processing. The method includes receiving an image of a first modality and a real image of a second modality, the image of the first modality and the image of the second modality capturing respective images of a same subject, applying a first trained model to the image of the first modality to generate an artificial image mimicking the image of the second modality, applying a second trained model to the artificial image mimicking the image of the second modality and data of the image of the first modality, and outputting at least one conclusion regarding the generated artificial image.",system method performing image processing method includes receiving image first modality real image second modality image first modality image second modality capturing respective image subject applying first trained model image first modality generate artificial image mimicking image second modality applying second trained model artificial image mimicking image second modality data image first modality outputting one conclusion regarding generated artificial image,"['G16H30/40', 'G06N3/045']","['G16H', 'G06N']",25,0.4925122559070587,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[25],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,1,25.0
US2020167918A1,"Image display control system, image display system, and image analysis device","An image display control system includes a hardware processor that acquires data of a static image of a subject, and data of a dynamic image of the subject including a plurality of frame images, analyzes the dynamic image that is acquired, and creates analysis result data based on an analysis result, and selects, on a basis of a purpose of checking of data, at least one of the data among the data of the static image that is acquired, a part of the data of the dynamic image that is acquired, and the analysis result data that is created.",image display control system includes hardware processor acquires data static image subject data dynamic image subject including plurality frame image analyzes dynamic image acquired creates analysis result data based analysis result selects basis purpose checking data one data data static image acquired part data dynamic image acquired analysis result data created,"['G16H30/40', 'G06T2207/20092']","['G16H', 'G06T']",25,0.49242034554481506,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[25],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,1,25.0
