publication_number,title,abstract,Lemmatized-Abstract,sub_classes,sub_class,topics,prob,query_publication_numbers,query_class_codes,query_abstract,query_predicted_topics,query_codes_G16H,exact_match_code,count_exact_match_top50,RFR
US2017296074A1,"Photoelectric sensor, photoelectric measurement method and heart rate measurement equipment","A photoelectric sensor can include: a lighting element configured to generate a first optical signal, where a second optical signal is generated by reflection of the first optical signal when emitting an object; a driving circuit configured to drive the lighting element; a photoelectric conversion circuit configured to generate a first optical current in accordance with the second optical signal; and a programmable current amplifier circuit configured to sample and hold the first optical current when the lighting element is in operation, and to generate a second optical current when the lighting element is out of operation in one detection period, where the second optical current lasts for at least one working period in the detection period, and where the second optical current represents the first optical current.",photoelectric sensor include lighting element configured generate first optical signal second optical signal generated reflection first optical signal emitting object driving circuit configured drive lighting element photoelectric conversion circuit configured generate first optical current accordance second optical signal programmable current amplifier circuit configured sample hold first optical current lighting element operation generate second optical current lighting element operation one detection period second optical current last one working period detection period second optical current represents first optical current,"['G06F19/00', 'G16H40/63']","['G06F', 'G16H']",17,0.2918288979623719,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[17],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,3,3.0
US2017036054A1,Functional garments and methods thereof,"Provided herein in some embodiments is a resistance-training system including an upper-body garment having a first section of a single-layered construction and a second section of a multi-layered construction. The single-layered construction can include a first fabric layer. The multi-layered construction can include the first fabric layer, a second fabric layer, and a resistance-providing layer in-between the first fabric layer and the second fabric layer. The resistance-training system also includes a lower-body garment having the multi-layered construction, optionally with a different resistance-providing layer than the upper-body garment. The resistance-providing layer of the upper-body garment and the lower-body garment can be configured to provide resistance to one or more user movements for a user donning the resistance-training system.",provided embodiment resistancetraining system including upperbody garment first section singlelayered construction second section multilayered construction singlelayered construction include first fabric layer multilayered construction include first fabric layer second fabric layer resistanceproviding layer inbetween first fabric layer second fabric layer resistancetraining system includes lowerbody garment multilayered construction optionally different resistanceproviding layer upperbody garment resistanceproviding layer upperbody garment lowerbody garment configured provide resistance one user movement user donning resistancetraining system,"['G16H20/30', 'A61B5/02438']","['G16H', 'A61B']",17,0.2848933263885355,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[17],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,3,3.0
US2013080381A1,Combining Medical Binary Decision Diagrams for Size Optimization,"In particular embodiments, a method includes accessing a first binary decision diagram (BDD) representing a data stream from a first sensor and a second BDD representing a data stream from a second sensor, constructing a third BDD by performing an OR operation between the first and second BDDs, determining sizes of the first, second, and third BDDs, and if the third BDD is smaller than the sum of the first and second BDDs, then storing the third BDD, else storing the first and second BDDs.",particular embodiment method includes accessing first binary decision diagram bdd representing data stream first sensor second bdd representing data stream second sensor constructing third bdd performing operation first second bdds determining size first second third bdds third bdd smaller sum first second bdds storing third bdd else storing first second bdds,"['G16H40/67', 'G16Z99/00']","['G16H', 'G16Z']",17,0.28044860651590514,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[17],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",G16H40/67,3,3.0
US2022076838A1,Acute kidney injury monitoring,"An example device includes memory and processing circuitry communicatively coupled to the memory. The processing circuitry is configured to determine a first baseline value of dissolved oxygen in a fluid and determine a second baseline value of a total oxygen output in the fluid. The processing circuitry is also configured to receive, from a first sensor, a first signal indicative of an amount of dissolved oxygen in the fluid and receive, from a second sensor, a second signal indicative of the output of the fluid. The processing circuitry is configured to determine a risk of developing acute kidney injury (AKI) based at least in part on the first baseline value, the second baseline value, the first signal, and the second signal.",example device includes memory processing circuitry communicatively coupled memory processing circuitry configured determine first baseline value dissolved oxygen fluid determine second baseline value total oxygen output fluid processing circuitry configured receive first sensor first signal indicative amount dissolved oxygen fluid receive second sensor second signal indicative output fluid processing circuitry configured determine risk developing acute kidney injury aki based part first baseline value second baseline value first signal second signal,"['G16H40/67', 'G16H40/67']","['G16H', 'G16H']",17,0.27549844255308215,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[17],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00","G16H40/67,G16H40/67",3,3.0
US2019175077A1,Electronic Device and Method of Controlling Same,"A portable electronic device including: a plurality of sensors configured to generate, in response to a first contact with a body of a user in a vicinity of the portable electronic device, one or more first input signals; a microprocessor; and a memory having stored thereon instructions that, when executed by the microprocessor, control the microprocessor to execute, in response to an analysis of the one or more first input signals indicating that the first contact corresponds to a first gesture, and by the microprocessor, a first command corresponding to the first gesture.",portable electronic device including plurality sensor configured generate response first contact body user vicinity portable electronic device one first input signal microprocessor memory stored instruction executed microprocessor control microprocessor execute response analysis one first input signal indicating first contact corresponds first gesture microprocessor first command corresponding first gesture,"['A61B5/11', 'G16H50/20']","['A61B', 'G16H']",17,0.27446098736556424,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[17],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,3,3.0
US2011179850A1,"Calibration method and operating method for a motion sensor, and motion sensor","A calibration method is provided for a motion sensor, in particular a pedometer, a first acceleration signal being measured as a function of an acceleration parallel to a first direction in a first calibration step, a second acceleration signal being measured as a function of an acceleration parallel to a second direction in a second calibration step, and an acceleration vector being ascertained from the angle between the first and the second acceleration signal in a third calibration step, and a phase angle between the acceleration vector and the first direction being determined in a fourth calibration step for determining a calibration signal.",calibration method provided motion sensor particular pedometer first acceleration signal measured function acceleration parallel first direction first calibration step second acceleration signal measured function acceleration parallel second direction second calibration step acceleration vector ascertained angle first second acceleration signal third calibration step phase angle acceleration vector first direction determined fourth calibration step determining calibration signal,"['G16H40/40', 'A61B2560/0223']","['G16H', 'A61B']",17,0.27081427772767114,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[17],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,3,3.0
US2017245782A1,Impairment detection with environmental considerations,"A method and system for monitoring impairment indicators. The method comprises, during a first time window, measuring a first movement signal related to movement of a person with a movement sensor associated with the person, and measuring a first environmental signal with an environmental sensor. The method further comprises electronically storing at least one numerical descriptor derived from the first movement signal and the first environmental signal as reference data for the person. The method further includes, during a second time window, measuring a second movement signal related to movement of the person with the movement sensor and measuring a second environmental signal with the environmental sensor; and comparing at least one numerical descriptor derived from the second movement signal and the second environmental signal to the reference data to identify an impairment indicator.",method system monitoring impairment indicator method comprises first time window measuring first movement signal related movement person movement sensor associated person measuring first environmental signal environmental sensor method comprises electronically storing one numerical descriptor derived first movement signal first environmental signal reference data person method includes second time window measuring second movement signal related movement person movement sensor measuring second environmental signal environmental sensor comparing one numerical descriptor derived second movement signal second environmental signal reference data identify impairment indicator,"['G16H20/30', 'A61B5/11']","['G16H', 'A61B']",17,0.268595323739403,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[17],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,3,3.0
US2017188841A1,System and method for detecting inflammation in a foot,"One variation of a method for detecting inflammation in a foot includes: accessing a first temperature measured through a left temperature sensor and a second temperature measured through a right temperature sensor at approximately a first time, the left temperature sensor arranged in a left sock and the right temperature sensor arranged in a right sock worn on the user&#39;s feet; calculating a baseline difference between the first and second temperatures based on confirmation of absence of inflammation in the user&#39;s left and right feet at the first time; accessing a third temperature measured through the left temperature sensor and a fourth temperature measured through the right temperature sensor at approximately a second time; and in response to a second temperature difference—between the third and fourth temperatures—differing from the baseline difference by more than a threshold difference, issuing an alarm through the user interface.",one variation method detecting inflammation foot includes accessing first temperature measured left temperature sensor second temperature measured right temperature sensor approximately first time left temperature sensor arranged left sock right temperature sensor arranged right sock worn user foot calculating baseline difference first second temperature based confirmation absence inflammation user left right foot first time accessing third temperature measured left temperature sensor fourth temperature measured right temperature sensor approximately second time response second temperature difference third fourth temperature differing baseline difference threshold difference issuing alarm user interface,"['A61B5/11', 'G16H50/20']","['A61B', 'G16H']",17,0.2680816798452838,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[17],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,3,3.0
US2017332459A1,Presence Based Illumination and Analytics System,"Disclosed herein are systems, devices, and methods relating to presence based detection and analytics including detecting a first movement associated with a bed; based on the first movement, sending a first signal to turn on at least one light and sending a second signal indicative of the first movement; detecting a second movement associated with the bed; and based on the second movement, sending a third signal to turn off at least one light and sending a fourth signal indicative of the second movement.",disclosed system device method relating presence based detection analytics including detecting first movement associated bed based first movement sending first signal turn one light sending second signal indicative first movement detecting second movement associated bed based second movement sending third signal turn one light sending fourth signal indicative second movement,"['G16H10/60', 'G16H10/60']","['G16H', 'G16H']",17,0.26708454904477386,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[17],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,3,3.0
US2013248550A1,Apparatus for Dispensing Solid Pharmaceutical Articles,"An apparatus for dispensing solid pharmaceutical articles includes a housing, a drive mechanism and a sensor system. The housing defines a dispensing passage having a dispensing inlet and a dispensing outlet downstream of the dispensing inlet. The drive mechanism serves to force the articles along a path through the dispensing passage between the dispensing inlet and the dispensing outlet. The sensor system includes first and second sensors operative to detect articles passing through the dispensing passage and a controller to receive and use detection signals from the first and second sensors to monitor dispensing performance of the apparatus. The first and second sensors are spaced apart along the dispensing channel such that the second sensor is located downstream of the first sensor.",apparatus dispensing solid pharmaceutical article includes housing drive mechanism sensor system housing defines dispensing passage dispensing inlet dispensing outlet downstream dispensing inlet drive mechanism serf force article along path dispensing passage dispensing inlet dispensing outlet sensor system includes first second sensor operative detect article passing dispensing passage controller receive detection signal first second sensor monitor dispensing performance apparatus first second sensor spaced apart along dispensing channel second sensor located downstream first sensor,"['G16H20/13', 'G07F9/026']","['G16H', 'G07F']",17,0.2669482923486385,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[17],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,3,3.0
